Year,Tm,Player,Age,G,Puntos,Rebotes,Asist,Robos,Bloqueos
1978,NOJ,Truck Robinson,26,82,1979,254,647,89,5
1978,BUF,Randy Smith,29,82,2304,295,428,68,30
1978,WSB,Elvin Hayes,32,81,1645,291,220,159,24
1978,BOS,Dave Cowens,29,77,1750,123,589,82,17
1978,NYK,Bob McAdoo,26,79,1223,178,125,175,17
1978,NJN,Bernard King,21,79,1825,120,575,77,22
1978,CHI,Artis Gilmore,28,82,1375,226,461,191,14
1978,DEN,David Thompson,23,80,2235,128,439,139,4
1978,GSW,Rick Barry,33,82,2103,288,241,51,13
1978,IND,Ricky Sobers,25,79,1177,121,627,165,16
1978,KCK,Scott Wedman,25,81,1630,76,377,182,11
1978,GSW,Phil Smith,25,82,1498,219,180,90,9
1978,HOU,John Lucas,24,82,1364,151,626,100,13
1978,SEA,Marvin Webster,25,82,1992,299,533,123,15
1978,CLE,Jim Chones,28,82,2215,184,536,139,25
1978,HOU,Calvin Murphy,29,76,1927,250,396,162,23
1978,CHI,Wilbur Holland,26,82,2190,132,201,138,4
1978,CHI,Mickey Johnson,25,81,1306,244,150,123,21
1978,SAS,Larry Kenon,25,81,1517,269,505,137,1
1978,SAS,George Gervin,25,82,1915,255,253,104,1
1978,DEN,Dan Issel,29,82,1627,194,402,146,1
1978,BOS,John Havlicek,37,82,1881,171,227,80,2
1978,DEN,Bob Wilkerson,23,81,1518,155,160,36,24
1978,LAL,Norm Nixon,22,81,1337,263,359,26,22
1978,BUF,Swen Nater,28,78,2215,159,357,86,18
1978,WSB,Bob Dandridge,30,75,1036,61,372,122,8
1978,IND,Mike Bantom,26,82,1756,122,585,59,15
1978,PHI,Doug Collins,26,79,2156,183,262,51,18
1978,MIL,Marques Johnson,21,80,2227,222,180,163,11
1978,MIL,Brian Winters,25,80,1354,307,169,151,26
1978,POR,Lionel Hollins,24,81,1508,298,607,166,29
1978,NJN,Kevin Porter,27,74,2143,163,634,123,5
1978,KCK,Ron Boone,31,82,1358,184,262,133,22
1978,WSB,Wes Unseld,31,80,1558,284,539,165,15
1978,PHO,Walter Davis,23,81,1484,158,655,179,9
1978,DET,Chris Ford,29,82,1767,133,200,175,7
1978,SEA,Gus Williams,24,79,1538,114,102,61,29
1978,DET,Eric Money,22,76,1380,142,113,22,30
1978,DET,M.L. Carr,27,79,2180,142,137,188,1
1978,NOJ,Gail Goodrich,34,81,1722,114,127,76,23
1978,PHO,Don Buse,27,82,2382,162,206,144,19
1978,PHI,George McGinnis,27,78,1471,232,577,114,7
